"","ID","cagb","cbgb","ctotal4inv","tot_area","inter_area"
"56","CR244214",3.93,13.12,17.49,265322010.074283,1871999.49387949
"57","CR244214",5.95,19.87,26.51,33097646.9561079,50924.6032705968
"58","CR244214",121.92,29.26,167.46,9175818445.38099,2759647.12373794
"59","CR244214",69.2,15.22,103.21,121338081.723975,28584.9364512598
"60","CR244214",12.03,12.03,41.31,29583608722.5417,1158135733.95348
"61","CR244214",69.2,15.22,103.21,16061499629.525,495781139.600395
"62","CR244214",4.17,13.94,18.49,22586617110.3508,24747626.8199465
"63","CR244214",12.03,24.53,41.31,141272933.07782,44929865.1288252
"64","CR244214",7.4,17.58,26.79,40342699535.1182,373838122.228907
"65","CR244214",3.93,13.12,17.49,9128615736.79685,400759805.622011
"66","CR244214",5.95,19.87,26.51,5083006879.66243,21720664.888058
"67","CR244215",121.92,29.26,167.46,1541431768.41478,1721239.87652609
"68","CR244215",7.4,17.58,26.79,260574841.560841,44140.7049428709
"69","CR244215",5.95,19.87,26.51,33097646.9561079,325034.329654516
"70","CR244215",69.38,16.65,104.87,2721048821.58053,647216.778324163
"71","CR244215",121.92,29.26,167.46,9175818445.38099,35460151.4595127
"72","CR244215",12.03,12.03,41.31,29583608722.5417,720835344.861077
"73","CR244215",69.2,15.22,103.21,16061499629.525,49711013.6363117
"74","CR244215",7.4,17.58,26.79,40342699535.1182,151839860.309904
"75","CR244215",3.93,13.12,17.49,9128615736.79685,579606376.478179
"76","CR244215",5.95,19.87,26.51,5083006879.66243,96499085.1859739
"77","CR244220",3.93,13.12,17.49,9128615736.79685,198451581.400247
"78","CR244220",5.95,19.87,26.51,5083006879.66243,17854792.7132677
"79","CR244221",121.92,29.26,167.46,1541431768.41478,2422416.27053025
"80","CR244221",59.82,13.76,81.56,9763615.48434765,1800365.32858235
"81","CR244221",4.31,7.15,11.96,2270133.08412391,59462.2468835702
"82","CR244221",3.93,13.12,17.49,265322010.074283,83885.9256111793
"83","CR244221",121.92,29.26,167.46,9175818445.38099,27209319.7769008
"84","CR244221",59.82,13.76,81.56,1678131990.24472,259970.027890195
"85","CR244221",4.31,7.15,11.96,4374957526.94904,313560749.394471
"86","CR244221",3.93,13.12,17.49,9128615736.79685,792.963988084346
"87","CR244221",5.95,19.87,26.51,5083006879.66243,12856599.5907077
"88","CR245212",121.92,29.26,167.46,1541431768.41478,124409.647611332
"89","CR245212",12.03,12.03,41.31,97816089.3538676,153982.7771822
"90","CR245212",69.2,15.22,103.21,153188418.530693,513053.838900151
"91","CR245212",4.17,13.94,18.49,295638357.287417,7990948.5257317
"92","CR245212",121.92,29.26,167.46,9175818445.38099,91052357.5262699
"93","CR245212",65.98,6.6,81.73,2423764165.82006,4454242.57477223
"94","CR245212",12.03,12.03,41.31,29583608722.5417,33685502.5298349
"95","CR245212",69.2,15.22,103.21,16061499629.525,98669732.7432356
"96","CR245212",4.17,13.94,18.49,22586617110.3508,672874497.388752
"97","CR245212",12.03,24.53,41.31,141272933.07782,44977624.558403
"98","CR245212",7.4,17.58,26.79,40342699535.1182,71548595.7559264
"99","CR245213",121.92,29.26,167.46,1541431768.41478,35000802.6627552
