"","ID","cagb","cbgb","ctotal4inv","tot_area","inter_area"
"29","CR246241",120.58,28.94,167.16,145448273.911623,8261502.56394711
"30","CR246241",1.03,4.74,9.4,77473916.992449,41826108.770308
"31","CR246241",1.03,4.74,9.4,95776736.0845105,8554737.10033941
"32","CR246241",98.7,23.69,136.17,1508142488.00348,7191287.01304857
"33","CR246241",120.58,28.94,167.16,7036463465.53076,44259825.0136194
"34","CR246241",1.03,4.74,9.4,637188597.606285,6.67012223949304
"35","CR246241",120.58,28.94,167.16,10274019.909778,1651170.53068014
"36","CR246241",1.03,4.74,9.4,1582939967.60133,835094853.916411
"37","CR246241",5.95,19.87,26.51,189451060.025735,9630907.94227654
"38","CR246241",1.04,10.15,12.77,945534655.38946,18.1077879563932
"39","CR246241",1.03,4.74,9.4,38709766590.8987,7773088.47624867
"40","CR246241",37.74,10.58,55.41,11213427796.265,8.83757132892426
"41","CR246241",1.03,4.74,9.4,5133580946.8382,20578438.1912781
"42","CR246241",1.04,10.15,12.77,10276555269.6776,30.2319973439765
"43","CR247239",98.7,23.69,136.17,78125595.3831807,508184.664825068
"44","CR247239",120.58,28.94,167.16,145448273.911623,25404371.6137882
"45","CR247239",1.03,4.74,9.4,95776736.0845105,8359493.04244382
"46","CR247239",98.7,23.69,136.17,1508142488.00348,20864635.7424736
"47","CR247239",120.58,28.94,167.16,7036463465.53076,218853764.913365
"48","CR247239",1.03,4.74,9.4,637188597.606285,11171384.7097294
"49","CR247239",0.73,0.77,5.13,300672690.150814,12.329321977646
"50","CR247239",1.04,10.15,12.77,11047968253.7415,154534.079394914
"51","CR247239",1.04,10.15,12.77,1428680311.19128,23.0567293117056
"52","CR247239",0.73,0.77,5.13,43692704.2308405,109775.947075184
"53","CR247239",1.03,4.74,9.4,38709766590.8987,504296270.859965
"54","CR247239",1.03,4.74,9.4,5133580946.8382,4649285.70312
"55","CR247239",1.04,10.15,12.77,10276555269.6776,2315801.06263538
"56","CR247240",98.7,23.69,136.17,78125595.3831807,8227.81682898477
"57","CR247240",120.58,28.94,167.16,145448273.911623,18436675.6611681
"58","CR247240",1.03,4.74,9.4,77473916.992449,3328875.42264176
"59","CR247240",98.7,23.69,136.17,1508142488.00348,37290290.2101651
"60","CR247240",120.58,28.94,167.16,7036463465.53076,130758103.820009
"61","CR247240",1.03,4.74,9.4,637188597.606285,100366467.184682
"62","CR247240",0.73,0.77,5.13,300672690.150814,6.71723756548778
"63","CR247240",1.04,10.15,12.77,11047968253.7415,26.937475307276
"64","CR247240",1.03,4.74,9.4,1582939967.60133,37141846.6154184
"65","CR247240",0.73,0.77,5.13,43692704.2308405,2933.60685678397
"66","CR247240",1.03,4.74,9.4,38709766590.8987,2247461533.53203
"67","CR247240",1.03,4.74,9.4,5133580946.8382,8.39896222614334
"68","CR247240",1.04,10.15,12.77,10276555269.6776,6.29571703754273
"69","CR247241",120.58,28.94,167.16,145448273.911623,286311.481330439
"70","CR247241",98.7,23.69,136.17,1508142488.00348,10710001.1780665
"71","CR247241",120.58,28.94,167.16,7036463465.53076,77467358.5930651
"72","CR247241",1.03,4.74,9.4,637188597.606285,25541624.2714034
"73","CR247241",1.04,10.15,12.77,11047968253.7415,5.67788754694722
"74","CR247241",5.95,19.87,26.51,189451060.025735,120901150.219016
"75","CR247241",0.73,0.77,5.13,47898053374.4299,20550796.0011912
"76","CR247241",37.74,10.58,55.51,2660646546.7248,0.893740140313753
"77","CR247241",5.95,19.87,26.51,2357345.49664495,2249886.57042596
"78","CR247241",1.03,4.74,9.4,38709766590.8987,656638637.902804
"79","CR247241",1.03,4.74,9.4,5133580946.8382,0.00823830226904931
"80","CR247241",1.04,10.15,12.77,10276555269.6776,6.61300991541913
"81","CR248238",98.7,23.69,136.17,78125595.3831807,80910.5869392876
"82","CR248238",120.58,28.94,167.16,145448273.911623,60104.055037573
"83","CR248238",1.03,4.74,9.4,95776736.0845105,4179779.43928451
"84","CR248238",98.7,23.69,136.17,1508142488.00348,175.119016345676
"85","CR248238",1.03,4.74,9.4,637188597.606285,16373372.0534542
"86","CR248238",1.04,10.15,12.77,11047968253.7415,18899625.4691055
"87","CR248238",1.04,10.15,12.77,1428680311.19128,6.50908505392636
"88","CR248238",1.03,4.74,9.4,38709766590.8987,570196453.648602
"89","CR248238",37.74,10.58,55.41,11213427796.265,20.2388157054665
"90","CR248238",1.03,4.74,9.4,5133580946.8382,283735906.462509
"91","CR248238",1.04,10.15,12.77,10276555269.6776,88597571.8067568
"92","CR248239",98.7,23.69,136.17,78125595.3831807,5403954.88520298
"93","CR248239",120.58,28.94,167.16,145448273.911623,18555591.4337412
"94","CR248239",1.03,4.74,9.4,95776736.0845105,13083.1333196719
"95","CR248239",98.7,23.69,136.17,1508142488.00348,59564665.0527691
"96","CR248239",120.58,28.94,167.16,7036463465.53076,471264239.991526
"97","CR248239",1.03,4.74,9.4,637188597.606285,40285981.9753845
"98","CR248239",0.73,0.77,5.13,300672690.150814,18.8383825287888
"99","CR248239",1.04,10.15,12.77,11047968253.7415,1935992.42572634
"100","CR248239",0.73,0.77,5.13,47898053374.4299,1582833.31171622
"101","CR248239",0.73,0.77,5.13,43692704.2308405,128737.834216169
"102","CR248239",0.73,0.77,5.13,8897202843.17605,1853210.17821878
"103","CR248239",1.03,4.74,9.4,38709766590.8987,1958541318.20673
"104","CR248239",37.74,10.58,55.41,11213427796.265,1.99689901002526
"105","CR248239",1.03,4.74,9.4,5133580946.8382,35766650.8647511
"106","CR248239",1.04,10.15,12.77,10276555269.6776,16472195.0681068
"107","CR248240",120.58,28.94,167.16,145448273.911623,105562.568004342
"108","CR248240",98.7,23.69,136.17,1508142488.00348,15578402.3930769
"109","CR248240",120.58,28.94,167.16,7036463465.53076,142577050.36976
"110","CR248240",0,0,0,364691685.522491,13.8414655644447
"111","CR248240",1.03,4.74,9.4,637188597.606285,70795149.0229819
"112","CR248240",37.74,10.58,55.41,89927242.3204199,6.10799859599541
"113","CR248240",1.04,10.15,12.77,11047968253.7415,70.7315778894622
"114","CR248240",1.04,10.15,12.77,1428680311.19128,11.0698946673559
"115","CR248240",0.73,0.77,5.13,43692704.2308405,282480.055231807
"116","CR248240",0.73,0.77,5.13,8897202843.17605,60424158.1342574
"117","CR248240",1.03,4.74,9.4,38709766590.8987,2390727186.92852
"118","CR248240",1.03,4.74,9.4,5133580946.8382,1.16747544601094
"119","CR248240",1.04,10.15,12.77,10276555269.6776,15.20912682286
"120","CR248241",98.7,23.69,136.17,1508142488.00348,5984720.13797399
"121","CR248241",120.58,28.94,167.16,7036463465.53076,25263849.6757209
"122","CR248241",1.03,4.74,9.4,637188597.606285,37579947.0680924
"123","CR248241",0.73,0.77,5.13,300672690.150814,75739.0777516745
"124","CR248241",1.04,10.15,12.77,11047968253.7415,13.9166035426206
"125","CR248241",5.95,19.87,26.51,189451060.025735,50110287.8642687
"126","CR248241",0.73,0.77,5.13,47898053374.4299,244491428.686802
"127","CR248241",120.58,28.94,167.16,1600476.79085388,423751.370271605
"128","CR248241",1.04,10.15,12.77,92000623.9823982,0.264041592275971
"129","CR248241",120.58,28.94,167.16,7076299902.76571,143943813.552243
"130","CR248241",37.74,10.58,55.51,5563925318.74425,0.654572632571217
"131","CR248241",5.95,19.87,26.51,2357345.49664495,3670.22758430988
