"CR224200","Brazil",488.78
"CR224201","Brazil",419.49
"CR224202","Brazil",591.78
"CR225176","Brazil",499.05
"CR225177","Brazil",589.55
"CR225178","Brazil",452.6
"CR225179","Brazil",374.78
"CR225180","Brazil",385.01
"CR225181","Brazil",438.67
"CR225182","Brazil",464.14
"CR225183","Brazil",492.48
"CR225184","Brazil",520.42
"CR225185","Brazil",658.29
"CR225186","Brazil",588.82
"CR225187","Brazil",532.44
"CR225188","Brazil",562.04
"CR225189","Brazil",578.28
"CR225190","Brazil",664.67
"CR225191","Brazil",673.42
"CR225192","Brazil",596.45
"CR225193","Brazil",632.92
"CR225194","Brazil",702.49
"CR225195","Brazil",716.01
"CR225196","Brazil",713.9
"CR225197","Brazil",698.59
"CR225198","Brazil",591.95
"CR225199","Brazil",521.14
"CR225200","Brazil",462.09
"CR225201","Brazil",491.16
"CR225202","Brazil",438.95
"CR226176","Brazil",552.47
"CR226177","Brazil",455.09
"CR226178","Brazil",492.68
"CR226179","Brazil",438.46
"CR226180","Brazil",557.3
"CR226181","Brazil",473.41
"CR226182","Brazil",461.33
"CR226183","Brazil",494.46
"CR226184","Brazil",530.28
"CR226185","Brazil",491.94
"CR226186","Brazil",320.98
"CR226187","Brazil",458
"CR226188","Brazil",566.46
"CR226189","Brazil",596.79
"CR226190","Brazil",649.41
"CR226191","Brazil",544.27
"CR226192","Brazil",698.34
"CR226193","Brazil",695.39
"CR226194","Brazil",714.66
"CR226195","Brazil",733.31
"CR226196","Brazil",657.41
"CR226197","Brazil",640.7
"CR226198","Brazil",542.59
"CR226199","Brazil",549.73
"CR226200","Brazil",493.26
"CR226201","Brazil",511.83
"CR227178","Brazil",497.95
"CR227179","Brazil",505.6
"CR227180","Brazil",616.57
"CR227181","Brazil",656.62
"CR227182","Brazil",583.84
"CR227183","Brazil",596.51
"CR227184","Brazil",472.81
"CR227185","Brazil",388.51
"CR227186","Brazil",503.81
"CR227187","Brazil",647.84
"CR227188","Brazil",675.53
"CR227189","Brazil",588.97
"CR227190","Brazil",510.16
"CR227191","Brazil",663.43
"CR227192","Brazil",695.34
"CR227193","Brazil",704.53
"CR227194","Brazil",705.43
"CR227195","Brazil",742.09
"CR227196","Brazil",642.71
"CR227197","Brazil",729.37
"CR227198","Brazil",597.74
"CR227199","Brazil",581.09
"CR227200","Brazil",473.88
"CR227201","Brazil",430.69
"CR228179","Brazil",559.86
"CR228180","Brazil",518.32
"CR228181","Brazil",520.21
"CR228182","Brazil",554.44
"CR228183","Brazil",635.45
"CR228184","Brazil",448.05
"CR228185","Brazil",274.01
"CR228186","Brazil",539.22
"CR228187","Brazil",450.2
"CR228188","Brazil",464.12
"CR228189","Brazil",572.56
"CR228190","Brazil",678.19
"CR228191","Brazil",656.43
"CR228192","Brazil",694.3
"CR228193","Brazil",710.98
"CR228194","Brazil",692.09
"CR228195","Brazil",742.7
"CR228196","Brazil",607.66
"CR228197","Brazil",719.2
"CR228198","Brazil",566.92
"CR228199","Brazil",537.66
"CR228200","Brazil",505.4
"CR229179","Brazil",608.02
"CR229180","Brazil",596.97
"CR229181","Brazil",533.63
"CR229182","Brazil",541.9
"CR229183","Brazil",660.82
"CR229184","Brazil",362.96
"CR229185","Brazil",208.79
"CR229186","Brazil",402.01
"CR229187","Brazil",601.03
"CR229188","Brazil",650.64
"CR229189","Brazil",649.56
"CR229190","Brazil",601.35
"CR229191","Brazil",655.68
"CR229192","Brazil",661.68
"CR229193","Brazil",660.77
"CR229194","Brazil",721.63
"CR229195","Brazil",735.1
"CR229196","Brazil",605.18
"CR229197","Brazil",687.17
"CR229198","Brazil",582.05
"CR229199","Brazil",526.97
"CR229200","Brazil",489.21
"CR230178","Brazil",465.2
